일자,06시,07시,08시,09시
20190527,39.84,34.54,28.17,23.11
20190524,36.9,33.54,32.1,24.75
20190523,40.21,32.38,30.13,23.51
20190522,39.19,33.62,20.52,12.73
20190521,38.1,38.71,31.12,23.12
20190520,39.05,36.15,27.32,22.02
20190517,38.07,35.59,31.49,24.64
20190516,40.67,34.69,25.83,14.64
20190515,39.75,34.23,24.66,16.83
20190514,41.89,36.41,31.21,24.47
20190513,39.67,37.8,31,24.08
20190510,40.69,34.35,32.26,28.1
20190509,39.36,36.43,27.63,25.25
20190508,35.8,33.74,23.02,15.68
20190507,38.99,36.44,34.52,31.26
20190506,44.22,40.28,38.62,34.39
20190503,39.17,34.36,32.34,23.06
20190502,35.2,37.53,32.78,25.54
20190501,36.62,37.19,22.1,15.85
20190430,39.09,35.88,32.26,28.72
20190429,34.6,37.22,33.23,26.97
20190426,36.61,34.9,33.65,29.63
20190425,37.88,35.13,29.89,27.19
20190424,38,30.1,21.33,13.84
20190423,41.29,35.92,32.69,28.33
20190422,38.55,32.91,29.15,19.78
20190419,38.19,32.06,29.88,24.4
20190418,40.92,38.23,30.7,25.26
20190417,39.44,33.94,22.18,15.43
20190416,39.71,37.27,33.75,27.22
20190415,41.21,38.07,31.84,24.66
20190412,34.53,37.14,31.65,26.71
20190411,40.95,37.54,30.42,22.62
20190410,34.88,33.74,23.5,12.08
20190409,40.73,35.91,30.34,25.75
20190408,36.97,33.69,28.52,21.62
20190405,38.95,38.89,29.31,21.06
20190404,37.31,33.15,24.65,10.68
20190403,40.94,38.63,41.35,40.68
20190402,39.45,37.19,31,25.92
20190401,39.7,36.54,30.34,19.23
